# ---------- 01 Per-Channel Summary ----------
chA: 1 chB: 3 | avgC: 38.7798 avgA: 96.2292 avgB: 166.813 MNR: 0.391195 GNR: 0.301797 DICE: 0.290452
chA: 1 chB: 4 | avgC: 20.2494 avgA: 96.2292 avgB: 82.8629 MNR: 0.241335 GNR: 0.218148 DICE: 0.216555
chA: 2 chB: 3 | avgC: 106.51 avgA: 207.712 avgB: 166.813 MNR: 0.638056 GNR: 0.572663 DICE: 0.568208
chA: 2 chB: 4 | avgC: 33.8157 avgA: 207.712 avgB: 82.8629 MNR: 0.401952 GNR: 0.256961 DICE: 0.232763
chA: 3 chB: 4 | avgC: 36.5191 avgA: 166.813 avgB: 82.8629 MNR: 0.430652 GNR: 0.305586 DICE: 0.28766

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.5011 avgA: 39.9661 avgB: 94.1467 MNR: 0.61277 GNR: 0.390061 DICE: 0.352779
chA: 0 chB: 2 | avgC: 14.8713 avgA: 39.9661 avgB: 199.302 MNR: 0.359513 GNR: 0.164526 DICE: 0.125616
chA: 0 chB: 3 | avgC: 18.9707 avgA: 39.9639 avgB: 176.023 MNR: 0.471178 GNR: 0.224396 DICE: 0.175177
chA: 0 chB: 4 | avgC: 11.5847 avgA: 39.9639 avgB: 78.6433 MNR: 0.282067 GNR: 0.196764 DICE: 0.183917
chA: 1 chB: 2 | avgC: 32.7371 avgA: 93.7775 avgB: 198.461 MNR: 0.344666 GNR: 0.241981 DICE: 0.226258
chA: 1 chB: 3 | avgC: 40.2607 avgA: 93.7775 avgB: 175.265 MNR: 0.42311 GNR: 0.313402 DICE: 0.298563
chA: 1 chB: 4 | avgC: 19.7618 avgA: 93.7775 avgB: 78.3214 MNR: 0.246435 GNR: 0.222573 DICE: 0.220925
chA: 2 chB: 3 | avgC: 108.652 avgA: 198.461 avgB: 175.265 MNR: 0.623718 GNR: 0.580033 DICE: 0.577862
chA: 2 chB: 4 | avgC: 31.5326 avgA: 198.461 avgB: 78.3214 MNR: 0.398685 GNR: 0.252958 DICE: 0.228335
chA: 3 chB: 4 | avgC: 38.7551 avgA: 175.265 avgB: 78.3214 MNR: 0.486323 GNR: 0.327159 DICE: 0.302329

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.8078 avgA: 40.7597 avgB: 88.1533 MNR: 0.57982 GNR: 0.38649 DICE: 0.355647
