# ---------- 01 Per-Channel Summary ----------
chA: 2 chB: 4 | avgC: 119.257 avgA: 402.963 avgB: 416.996 MNR: 0.3009 GNR: 0.286433 DICE: 0.285899
chA: 3 chB: 4 | avgC: 126.3 avgA: 365.045 avgB: 416.996 MNR: 0.345181 GNR: 0.317933 DICE: 0.316184

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 199.68 avgA: 307.274 avgB: 435.144 MNR: 0.654676 GNR: 0.546075 DICE: 0.535882
chA: 0 chB: 2 | avgC: 86.5423 avgA: 307.266 avgB: 399.872 MNR: 0.284952 GNR: 0.246173 DICE: 0.243077
chA: 0 chB: 3 | avgC: 100.543 avgA: 307.259 avgB: 370.8 MNR: 0.336098 GNR: 0.296287 DICE: 0.293322
chA: 0 chB: 4 | avgC: 101.664 avgA: 307.254 avgB: 421.902 MNR: 0.335102 GNR: 0.281842 DICE: 0.277182
chA: 1 chB: 2 | avgC: 134.29 avgA: 435.144 avgB: 399.872 MNR: 0.337798 GNR: 0.315892 DICE: 0.314781
chA: 1 chB: 3 | avgC: 142.018 avgA: 435.144 avgB: 370.8 MNR: 0.377179 GNR: 0.346926 DICE: 0.345152
chA: 1 chB: 4 | avgC: 172.933 avgA: 435.143 avgB: 421.901 MNR: 0.412692 GNR: 0.395866 DICE: 0.395321
chA: 2 chB: 3 | avgC: 310.25 avgA: 399.872 avgB: 370.8 MNR: 0.842626 GNR: 0.792164 DICE: 0.789878
chA: 2 chB: 4 | avgC: 118.693 avgA: 399.872 avgB: 421.9 MNR: 0.299672 GNR: 0.284356 DICE: 0.283788
chA: 3 chB: 4 | avgC: 127.509 avgA: 370.8 avgB: 421.9 MNR: 0.34386 GNR: 0.316868 DICE: 0.315232

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 203.463 avgA: 308.996 avgB: 448.014 MNR: 0.666994 GNR: 0.54931 DICE: 0.537741
chA: 0 chB: 2 | avgC: 84.1464 avgA: 308.986 avgB: 402.954 MNR: 0.276368 GNR: 0.238179 DICE: 0.235089
chA: 0 chB: 3 | avgC: 105.714 avgA: 308.977 avgB: 391.073 MNR: 0.349996 GNR: 0.302423 DICE: 0.298472
chA: 0 chB: 4 | avgC: 102.317 avgA: 308.963 avgB: 430.003 MNR: 0.336664 GNR: 0.280606 DICE: 0.275535
chA: 1 chB: 2 | avgC: 137.953 avgA: 448.014 avgB: 402.954 MNR: 0.342747 GNR: 0.319371 DICE: 0.318263
chA: 1 chB: 3 | avgC: 150.228 avgA: 448.014 avgB: 391.073 MNR: 0.378176 GNR: 0.352665 DICE: 0.351326
chA: 1 chB: 4 | avgC: 178.474 avgA: 448.013 avgB: 430.002 MNR: 0.416245 GNR: 0.399669 DICE: 0.399125
chA: 2 chB: 3 | avgC: 327.505 avgA: 402.953 avgB: 391.072 MNR: 0.849888 GNR: 0.810755 DICE: 0.809098
chA: 2 chB: 4 | avgC: 123.67 avgA: 402.95 avgB: 430.002 MNR: 0.308165 GNR: 0.292773 DICE: 0.292217
chA: 3 chB: 4 | avgC: 137.031 avgA: 391.07 avgB: 429.996 MNR: 0.352021 GNR: 0.328754 DICE: 0.327451

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 197.541 avgA: 303.016 avgB: 426.349 MNR: 0.654376 GNR: 0.548365 DICE: 0.538492
chA: 0 chB: 2 | avgC: 85.2956 avgA: 303.009 avgB: 397.661 MNR: 0.283361 GNR: 0.244484 DICE: 0.241381
chA: 0 chB: 3 | avgC: 100.592 avgA: 303.004 avgB: 372.005 MNR: 0.33821 GNR: 0.296599 DICE: 0.293381
chA: 0 chB: 4 | avgC: 102.535 avgA: 303.001 avgB: 420.87 MNR: 0.341375 GNR: 0.285818 DICE: 0.280948
chA: 1 chB: 2 | avgC: 132.065 avgA: 426.349 avgB: 397.661 MNR: 0.335409 GNR: 0.31348 DICE: 0.312399
chA: 1 chB: 3 | avgC: 140.8 avgA: 426.349 avgB: 372.004 MNR: 0.369911 GNR: 0.343439 DICE: 0.342001
chA: 1 chB: 4 | avgC: 172.441 avgA: 426.349 avgB: 420.869 MNR: 0.417456 GNR: 0.399001 DICE: 0.398383
chA: 2 chB: 3 | avgC: 313.291 avgA: 397.66 avgB: 372.004 MNR: 0.849267 GNR: 0.7983 DICE: 0.79593
chA: 2 chB: 4 | avgC: 120.473 avgA: 397.66 avgB: 420.869 MNR: 0.305541 GNR: 0.289457 DICE: 0.288851
chA: 3 chB: 4 | avgC: 128.707 avgA: 372.004 avgB: 420.869 MNR: 0.345717 GNR: 0.318664 DICE: 0.317001

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 207.097 avgA: 306.624 avgB: 445.494 MNR: 0.679614 GNR: 0.560011 DICE: 0.548214
chA: 0 chB: 2 | avgC: 87.2075 avgA: 306.616 avgB: 407.592 MNR: 0.287164 GNR: 0.245727 DICE: 0.242224
chA: 0 chB: 3 | avgC: 101.535 avgA: 306.613 avgB: 374.843 MNR: 0.339386 GNR: 0.296231 DICE: 0.292825
chA: 0 chB: 4 | avgC: 104.066 avgA: 306.607 avgB: 437.248 MNR: 0.343144 GNR: 0.283372 DICE: 0.277752
chA: 1 chB: 2 | avgC: 139.257 avgA: 445.491 avgB: 407.592 MNR: 0.342933 GNR: 0.319676 DICE: 0.318484
chA: 1 chB: 3 | avgC: 148.365 avgA: 445.491 avgB: 374.842 MNR: 0.386478 GNR: 0.353524 DICE: 0.351574
chA: 1 chB: 4 | avgC: 180.752 avgA: 445.491 avgB: 437.248 MNR: 0.419443 GNR: 0.401175 DICE: 0.40055
chA: 2 chB: 3 | avgC: 319.241 avgA: 407.592 avgB: 374.842 MNR: 0.859459 GNR: 0.801082 DICE: 0.797957
chA: 2 chB: 4 | avgC: 124.068 avgA: 407.592 avgB: 437.247 MNR: 0.30595 GNR: 0.28897 DICE: 0.288293
chA: 3 chB: 4 | avgC: 131.958 avgA: 374.841 avgB: 437.247 MNR: 0.350205 GNR: 0.319396 DICE: 0.31724

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 204.449 avgA: 309.811 avgB: 439.82 MNR: 0.663127 GNR: 0.552885 DICE: 0.542704
chA: 0 chB: 2 | avgC: 87.6781 avgA: 309.803 avgB: 401.468 MNR: 0.285026 GNR: 0.247467 DICE: 0.244579
chA: 0 chB: 3 | avgC: 101.307 avgA: 309.801 avgB: 362.487 MNR: 0.335578 GNR: 0.29851 DICE: 0.295967
chA: 0 chB: 4 | avgC: 103.81 avgA: 309.797 avgB: 421.874 MNR: 0.338674 GNR: 0.286706 DICE: 0.282359
chA: 1 chB: 2 | avgC: 134.768 avgA: 439.818 avgB: 401.467 MNR: 0.336119 GNR: 0.31446 DICE: 0.313397
chA: 1 chB: 3 | avgC: 139.595 avgA: 439.818 avgB: 362.487 MNR: 0.376971 GNR: 0.341439 DICE: 0.339118
chA: 1 chB: 4 | avgC: 173.8 avgA: 439.818 avgB: 421.872 MNR: 0.412099 GNR: 0.396061 DICE: 0.395562
chA: 2 chB: 3 | avgC: 307.094 avgA: 401.467 avgB: 362.485 MNR: 0.846274 GNR: 0.78982 DICE: 0.786819
chA: 2 chB: 4 | avgC: 119.959 avgA: 401.467 avgB: 421.871 MNR: 0.30195 GNR: 0.286962 DICE: 0.286414
chA: 3 chB: 4 | avgC: 124.5 avgA: 362.485 avgB: 421.871 MNR: 0.339979 GNR: 0.311615 DICE: 0.309831

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 204.099 avgA: 308.38 avgB: 443.951 MNR: 0.666079 GNR: 0.551614 DICE: 0.540681
chA: 0 chB: 2 | avgC: 86.1566 avgA: 308.374 avgB: 406.185 MNR: 0.281884 GNR: 0.242585 DICE: 0.239459
chA: 0 chB: 3 | avgC: 99.9113 avgA: 308.369 avgB: 377.487 MNR: 0.331238 GNR: 0.290211 DICE: 0.287068
chA: 0 chB: 4 | avgC: 103.031 avgA: 308.363 avgB: 429.382 MNR: 0.337757 GNR: 0.282498 DICE: 0.277603
chA: 1 chB: 2 | avgC: 137.743 avgA: 443.949 avgB: 406.185 MNR: 0.341015 GNR: 0.318067 DICE: 0.316889
chA: 1 chB: 3 | avgC: 145.627 avgA: 443.949 avgB: 377.487 MNR: 0.378395 GNR: 0.347673 DICE: 0.345911
chA: 1 chB: 4 | avgC: 179.263 avgA: 443.949 avgB: 429.381 MNR: 0.421797 GNR: 0.403638 DICE: 0.402999
